Seconds,Power (Watts)
0.0,356
1.0,360
2.0,374
3.0,381
4.0,382
6.0,383
7.0,384
8.0,383
9.0,382
10.0,383
11.0,384
12.0,381
13.0,376
14.0,376
15.0,378
16.0,378
17.0,378
18.0,379
19.0,379
20.0,379
21.0,379
22.0,380
23.0,378
24.0,378
25.0,378
26.0,378
27.0,378
29.0,378
30.0,378
31.0,378
32.0,378
33.0,378
34.0,378
35.0,378
36.0,378
37.0,378
38.0,378
39.0,378
40.0,378
41.0,378
42.0,375
43.0,374
44.0,372
45.0,373
46.0,373
47.0,372
48.0,372
49.0,372
50.0,373
52.0,373
53.0,372
54.0,372
55.0,373
56.0,372
57.0,372
58.0,372
59.0,372
60.0,372
61.0,372
62.0,372
63.0,372
64.0,371
65.0,371
66.0,372
67.0,372
68.0,371
69.0,371
70.0,372
71.0,372
72.0,372
73.0,371
75.0,371
76.0,371
77.0,372
78.0,372
79.0,372
80.0,372
81.0,371
82.0,372
83.0,372
84.0,371
85.0,371
86.0,372
87.0,372
88.0,371
89.0,371
90.0,372
91.0,372
92.0,371
93.0,371
94.0,371
95.0,372
97.0,372
98.0,373
99.0,377
105.0,372
106.0,372
107.0,372
108.0,372
109.0,371
110.0,371
111.0,372
112.0,372
113.0,372
114.0,371
115.0,372
116.0,372
117.0,372
118.0,372
119.0,372
120.0,372
121.0,366
122.0,333
124.0,320
125.0,315
126.0,309
127.0,310
128.0,316
129.0,318
130.0,320
131.0,332
132.0,337
133.0,333
134.0,330
135.0,335
136.0,339
137.0,339
138.0,336
139.0,333
140.0,331
141.0,332
142.0,337
143.0,341
144.0,336
145.0,337
146.0,338
147.0,330
149.0,327
150.0,330
151.0,333
152.0,336
153.0,333
154.0,342
155.0,354
156.0,358
157.0,359
158.0,358
159.0,352
160.0,354
161.0,347
162.0,340
163.0,335
164.0,317
165.0,314
166.0,323
167.0,324
168.0,327
169.0,337
170.0,344
171.0,340
172.0,335
174.0,316
175.0,315
176.0,325
177.0,326
178.0,339
179.0,355
180.0,358
181.0,358
182.0,358
183.0,349
184.0,348
185.0,350
186.0,350
187.0,352
188.0,344
189.0,329
190.0,330
191.0,324
192.0,327
193.0,330
194.0,327
195.0,329
196.0,333
197.0,334
199.0,333
200.0,332
201.0,336
202.0,340
203.0,339
204.0,332
205.0,325
206.0,331
207.0,337
208.0,340
209.0,344
210.0,358
211.0,366
212.0,371
213.0,355
214.0,343
215.0,337
216.0,329
217.0,331
218.0,338
219.0,342
220.0,340
221.0,331
222.0,335
224.0,338
225.0,338
226.0,331
227.0,325
228.0,336
229.0,337
230.0,336
231.0,333
232.0,330
233.0,322
234.0,327
235.0,327
236.0,333
237.0,350
238.0,338
239.0,319
240.0,324
241.0,329
242.0,343
243.0,348
244.0,335
245.0,334
246.0,340
247.0,351
249.0,352
250.0,349
251.0,347
252.0,342
253.0,327
254.0,313
255.0,315
256.0,314
257.0,309
258.0,311
259.0,325
260.0,320
261.0,314
262.0,317
263.0,314
264.0,308
265.0,306
266.0,306
267.0,314
268.0,322
269.0,320
270.0,322
271.0,318
272.0,310
273.0,313
275.0,309
276.0,316
277.0,320
278.0,308
279.0,311
280.0,307
281.0,306
282.0,309
283.0,314
284.0,310
285.0,304
286.0,305
287.0,312
288.0,306
289.0,307
290.0,304
291.0,297
292.0,293
293.0,303
294.0,320
295.0,318
296.0,319
297.0,319
298.0,324
300.0,337
301.0,337
302.0,326
303.0,315
304.0,300
305.0,301
306.0,306
307.0,316
308.0,326
309.0,316
310.0,309
311.0,314
312.0,310
313.0,317
314.0,328
315.0,329
316.0,317
317.0,316
318.0,318
319.0,309
320.0,305
321.0,305
322.0,319
323.0,320
324.0,310
326.0,311
327.0,311
328.0,301
329.0,297
330.0,301
331.0,308
332.0,310
333.0,311
334.0,302
335.0,300
336.0,294
337.0,296
338.0,298
339.0,303
340.0,308
341.0,302
342.0,302
343.0,310
344.0,300
345.0,303
346.0,309
347.0,309
348.0,303
349.0,300
351.0,309
352.0,314
353.0,307
354.0,298
355.0,304
356.0,303
357.0,302
358.0,303
359.0,302
360.0,299
361.0,300
362.0,317
363.0,321
364.0,307
365.0,317
366.0,326
367.0,338
368.0,347
369.0,346
370.0,344
371.0,342
372.0,339
373.0,345
375.0,344
376.0,344
377.0,346
378.0,351
379.0,356
380.0,361
381.0,365
382.0,364
383.0,365
384.0,365
385.0,366
386.0,368
387.0,370
388.0,370
389.0,370
390.0,370
391.0,370
392.0,370
393.0,370
394.0,370
395.0,370
396.0,371
397.0,372
399.0,371
400.0,372
401.0,372
402.0,372
403.0,371
404.0,370
405.0,370
406.0,370
407.0,370
408.0,370
409.0,370
410.0,370
411.0,370
