system,config,power,throughput
pass,c8d10,600,22.8
pass,c8d10,440,22.8
pass,c8d10,360,22.8
pass,c8d10,300,10.4
pass,c8d10,260,5.677
pass,c8d10,250,0.481
thunderbolt,c8d10,600,22.8
thunderbolt,c8d10,440,22.8
thunderbolt,c8d10,360,22.5
thunderbolt,c8d10,300,2.649
thunderbolt,c8d10,260,0.715
thunderbolt,c8d10,250,0.105
pass,c8d5,600,14.7
pass,c8d5,440,14.6
pass,c8d5,360,14.6
pass,c8d5,300,8.489
pass,c8d5,260,1.188
thunderbolt,c8d5,600,14.4
thunderbolt,c8d5,440,14.4
thunderbolt,c8d5,360,5.916
thunderbolt,c8d5,300,4.514
thunderbolt,c8d5,260,0.727
pass,c1d10,600,22.8
thunderbolt,c1d10,600,22.8
thunderbolt,c1d10,440,22.8
thunderbolt,c1d10,360,5.167
thunderbolt,c1d10,300,2.542
thunderbolt,c1d10,260,0.320
pass,c1d10,440,22.8
pass,c1d10,360,22.8
pass,c1d10,300,9.831
pass,c1d10,260,1.133
