system,background_jobs,p99_latency,norm_latency
linux,0,353,1.044378698224852
linux,1,128,0.920863309352518
linux,2,67,1.488888888888889
linux,3,62,1.3777777777777778
linux,4,63,1.3695652173913044
linux,5,66,1.4042553191489362
linux,6,70,1.4
linux,7,73,1.4038461538461537
linux,8,73,1.3272727272727274
spdk_dynamic,0,364,1.0769230769230769
spdk_dynamic,1,217,1.5611510791366907
spdk_dynamic,2,128,2.8444444444444446
spdk_dynamic,3,60,1.3333333333333333
spdk_dynamic,4,64,1.391304347826087
spdk_dynamic,5,87,1.851063829787234
spdk_dynamic,6,74,1.48
spdk_dynamic,7,84,1.6153846153846154
spdk_dynamic,8,94,1.709090909090909
spdk_static,0,338,1.0
spdk_static,1,139,1.0
spdk_static,2,45,1.0
spdk_static,3,45,1.0
spdk_static,4,46,1.0
spdk_static,5,47,1.0
spdk_static,6,50,1.0
spdk_static,7,52,1.0
spdk_static,8,55,1.0
